,wavelength,flux_spec
153,4281539.835213378,6350004142364.284
154,4257944.428261238,6444990743568.479
155,4234479.054720134,6540880545626.145
156,4211142.997980758,6637559222363.137
157,4187935.5453830264,6736164186221.661
158,4164855.9881942985,6835551950497.413
159,4141903.621587716,6933765231937.639
160,4119077.744620713,7035210685405.9375
161,4096377.6602135883,7140093709914.547
162,4073802.6751282094,7243598985810.519
163,4051352.099946872,7348178564610.875
164,4029025.2490512077,7455697397591.107
165,4006821.4406012855,7563846982946.419
166,3984739.9965147474,7672604245309.861
167,3962780.24244614,7784057667704.697
168,3940941.507766297,7896597830065.72
169,3919223.1255418584,8008039132976.756
170,3897624.43251492,8123036652200.396
171,3876144.7690827535,8241774524683.964
172,3854783.4792776904,8359057325858.5205
173,3833539.9107470727,8477278566926.733
174,3812413.4147333223,8597801437511.015
175,3791403.3460541577,8719504946350.412
176,3770509.063082854,8842484001169.105
177,3749729.9277286846,8968883864606.775
178,3729065.305417409,9096122865961.842
179,3708514.5650718985,9220657692142.826
180,3688077.079092877,9347927598579.43
181,3667752.2233397327,9478480063332.977
182,3647539.3771114806,9612398831588.084
183,3627437.923127786,9747418088245.998
184,3607447.247510128,9880220962752.455
185,3587566.7397630555,10016907130555.002
186,3567795.7927555162,10157854563545.44
187,3548133.8027023496,10297739804896.67
188,3528580.1691458332,10437932269956.541
189,3509134.294937331,10577629611613.086
190,3489795.5862190896,10720084411117.334
191,3470563.4524060646,10865800730104.129
192,3451437.3061679197,11015954151158.531
193,3432416.563411063,11167161920340.42
194,3413500.643260827,11314868835062.389
195,3394688.9680437255,11466058348332.71
196,3375980.963269799,11621038792364.145
197,3357376.057615088,11775775058759.805
198,3338873.682904183,11931464602755.758
199,3320473.274092854,12087899907892.965
200,3302174.2692508246,12247508710638.156
201,3283976.1095445803,12410372891745.932
202,3265878.2392203324,12573219204843.12
203,3247880.1055870145,12737376931592.934
204,3229981.158999433,12903160672490.557
205,3212180.8528414676,13071690241624.277
206,3194478.6435093693,13242590839056.588
207,3176873.9903951813,13410344726639.477
208,3159366.3558702054,13579410534834.113
209,3141955.205268606,13753030128498.16
210,3124640.0068710623,13930609931766.127
211,3107420.2318885443,14111487795233.207
212,3090295.354446161,14287363987890.816
213,3073264.8515670886,14464289403823.195
214,3056328.203156618,14646503993161.26
215,3039484.8919862635,14830257434020.453
216,3022734.4036779543,15015086785504.67
217,3006076.2266883557,15199068845143.807
218,2989509.852293213,15385140099448.969
219,2973034.774571844,15576223169937.627
220,2956650.4903916656,15768888242001.045
221,2940356.4993928494,15962662732194.447
222,2924152.3039730326,16155481291903.766
223,2908037.409272107,16349029315249.596
224,2892011.3231571326,16542885678042.023
225,2876073.556207295,16741117887185.025
226,2860223.621698951,16943280077974.535
